time,time_sim,age_sim,hour_sim,arm_selected,reward
2024-01-20 23:09:51,2024-01-21 03:00:15,39,3,option3,1
2024-01-20 23:09:51,2024-01-22 01:00:43,17,1,option3,0
2024-01-20 23:09:52,2024-01-22 03:00:47,118,3,option1,0
2024-01-20 23:09:52,2024-01-21 11:00:34,54,11,option2,0
2024-01-20 23:09:53,2024-01-22 00:00:31,57,0,option3,1
2024-01-20 23:09:54,2024-01-21 16:00:02,54,16,option3,1
2024-01-20 23:09:54,2024-01-22 17:00:22,87,17,option3,1
2024-01-20 23:09:55,2024-01-22 03:00:01,64,3,option3,1
2024-01-20 23:09:55,2024-01-22 17:00:04,87,17,option3,1
2024-01-20 23:09:56,2024-01-22 13:00:52,46,13,option3,1
2024-01-20 23:09:56,2024-01-21 04:00:54,110,4,option1,0
2024-01-20 23:09:57,2024-01-22 04:00:28,7,4,option3,0
2024-01-20 23:09:57,2024-01-21 17:00:57,100,17,option1,0
2024-01-20 23:09:58,2024-01-21 14:00:48,4,14,option1,1
2024-01-20 23:09:58,2024-01-22 04:00:10,46,4,option3,1
2024-01-20 23:09:59,2024-01-22 09:00:38,70,9,option3,1
2024-01-20 23:09:59,2024-01-21 16:00:49,63,16,option3,1
2024-01-20 23:10:00,2024-01-22 06:00:56,46,6,option3,1
2024-01-20 23:10:01,2024-01-21 15:00:48,60,15,option3,1
2024-01-20 23:10:01,2024-01-21 20:00:06,63,20,option3,1
2024-01-20 23:10:02,2024-01-21 23:00:49,8,23,option1,1
2024-01-20 23:10:02,2024-01-21 14:00:28,76,14,option1,0
2024-01-20 23:10:03,2024-01-21 22:00:38,100,22,option3,1
2024-01-20 23:10:03,2024-01-21 11:00:20,0,11,option1,1
2024-01-20 23:10:04,2024-01-21 21:00:38,94,21,option3,1
2024-01-20 23:10:04,2024-01-22 00:00:20,66,0,option1,0
2024-01-20 23:10:05,2024-01-21 14:00:20,16,14,option1,0
2024-01-20 23:10:05,2024-01-21 20:00:36,80,20,option3,0
2024-01-20 23:10:06,2024-01-22 01:00:54,60,1,option3,1
2024-01-20 23:10:06,2024-01-22 17:00:45,17,17,option2,0
2024-01-20 23:10:07,2024-01-22 04:00:06,101,4,option1,0
2024-01-20 23:10:07,2024-01-21 15:00:31,91,15,option3,1
2024-01-20 23:10:08,2024-01-21 08:00:21,55,8,option3,0
2024-01-20 23:10:08,2024-01-22 12:00:54,80,12,option3,1
2024-01-20 23:10:09,2024-01-21 10:00:56,11,10,option3,0
2024-01-20 23:10:09,2024-01-21 10:00:41,98,10,option3,1
2024-01-20 23:10:10,2024-01-22 03:00:36,89,3,option1,0
2024-01-20 23:10:10,2024-01-22 10:00:03,87,10,option2,0
2024-01-20 23:10:11,2024-01-21 19:00:34,90,19,option3,1
2024-01-20 23:10:11,2024-01-21 21:00:00,40,21,option3,1
2024-01-20 23:10:12,2024-01-22 06:00:50,89,6,option3,1
2024-01-20 23:10:12,2024-01-22 00:00:48,81,0,option3,1
2024-01-20 23:10:13,2024-01-21 16:00:40,42,16,option1,0
2024-01-20 23:10:13,2024-01-21 14:00:47,35,14,option2,0
2024-01-20 23:10:14,2024-01-21 22:00:51,114,22,option1,0
2024-01-20 23:10:14,2024-01-22 06:00:31,105,6,option3,1
2024-01-20 23:10:15,2024-01-22 08:00:03,80,8,option3,0
2024-01-20 23:10:16,2024-01-22 11:00:37,6,11,option1,0
2024-01-20 23:10:16,2024-01-22 06:00:31,1,6,option1,1
2024-01-20 23:10:17,2024-01-22 01:00:24,107,1,option3,1
2024-01-20 23:10:18,2024-01-21 20:00:21,45,20,option2,0
2024-01-20 23:10:18,2024-01-21 08:00:55,42,8,option3,1
2024-01-20 23:10:19,2024-01-21 20:00:53,49,20,option3,1
2024-01-20 23:10:20,2024-01-22 12:00:17,10,12,option1,1
2024-01-20 23:10:20,2024-01-21 16:00:33,67,16,option3,1
2024-01-20 23:10:21,2024-01-22 00:00:51,90,0,option1,0
2024-01-20 23:10:21,2024-01-21 23:00:11,15,23,option3,0
2024-01-20 23:10:22,2024-01-22 13:00:14,41,13,option1,0
2024-01-20 23:10:23,2024-01-22 07:00:10,91,7,option3,0
2024-01-20 23:10:23,2024-01-22 12:00:39,105,12,option3,1
2024-01-20 23:10:24,2024-01-22 08:00:52,95,8,option3,1
2024-01-20 23:10:25,2024-01-21 09:00:01,117,9,option3,1
2024-01-20 23:10:25,2024-01-21 16:00:02,110,16,option3,1
2024-01-20 23:10:26,2024-01-21 14:00:32,63,14,option3,1
2024-01-20 23:10:26,2024-01-21 06:00:10,66,6,option3,1
2024-01-20 23:10:27,2024-01-22 00:00:32,52,0,option3,1
2024-01-20 23:10:28,2024-01-22 06:00:14,44,6,option3,1
2024-01-20 23:10:28,2024-01-22 17:00:19,87,17,option3,1
2024-01-20 23:10:29,2024-01-22 05:00:59,98,5,option3,0
2024-01-20 23:10:30,2024-01-21 15:00:27,65,15,option2,0
2024-01-20 23:10:30,2024-01-21 20:00:45,30,20,option2,0
2024-01-20 23:10:31,2024-01-21 07:00:37,8,7,option2,0
2024-01-20 23:10:31,2024-01-22 03:00:41,110,3,option3,1
2024-01-20 23:10:32,2024-01-22 08:00:41,69,8,option2,1
2024-01-20 23:10:32,2024-01-21 15:00:24,9,15,option2,0
2024-01-20 23:10:33,2024-01-22 02:00:36,98,2,option3,1
2024-01-20 23:10:33,2024-01-21 18:00:42,78,18,option3,1
2024-01-20 23:10:34,2024-01-21 23:00:11,75,23,option3,1
2024-01-20 23:10:34,2024-01-22 04:00:07,21,4,option1,1
2024-01-20 23:10:35,2024-01-22 04:00:31,21,4,option1,1
